"Symbol","Name","IPO date","Industry","Market cap","20 Day Average Volume","Issuer Symbol","Issuer Name","Issuer Type","Action"
"VCVCU","10X Capital Venture Acquisition Corp","11/24/2020","Shell Companies","$0","0","","","","Analyze"
"VIIAU","7GC & Co. Holdings Inc. - Unit","12/23/2020","","$0","2,374","","","","Analyze"
"ACAMU","Acamar Partners Acquisition Corp. - Units","02/22/2019","Shell Companies","$343,464,299","0","ACAM","Acamar Partners Acquisition Corp. - Class A","Common stocks","Analyze"
"ACEVU","ACE Convergence Acquisition Corp. - Unit","07/28/2020","Shell Companies","$263,120,000","0","ACEV","ACE Convergence Acquisition Corp. - Class A","Common stocks","Analyze"
"ACACU","Acies Acquisition Corp. - Unit","10/22/2020","Shell Companies","$226,227,750","0","ACAC","Acies Acquisition Corp. - Class A","Common stocks","Analyze"
"ACKIU","ACKRELL SPAC Partners I Co.","12/21/2020","Shell Companies","$0","231,754","","","","Analyze"
"STWOU","ACON S2 Acquisition Corp. - Unit","09/17/2020","Shell Companies","$257,750,000","0","STWO","ACON S2 Acquisition Corp. - Class A","Common stocks","Analyze"
"IMPX=","AEA-Bridges Impact Corp. Units, each consisting of one Class A ordinary share, and one-half of one redeemable warrant","10/01/2020","Shell Companies","$0","0","IMPX","AEA-Bridges Impact Corp. Class A","Common stocks","Analyze"
"ARBGU","Aequi Acquisition Corp. - Unit","11/20/2020","Shell Companies","$0","0","","","","Analyze"
"AGBAU","AGBA Acquisition Limited - Unit","05/15/2019","Shell Companies","$63,335,000","0","AGBA","AGBA Acquisition Limited","Common stocks","Analyze"
"AJAX=","Ajax I Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","10/23/2020","Shell Companies","$0","0","AJAX","Ajax I Class A","Common stocks","Analyze"
"ALACU","Alberton Acquisition Corporation - Unit","10/24/2018","Shell Companies","$61,072,829","0","ALAC","Alberton Acquisition Corporation","Common stocks","Analyze"
"AHACU","Alpha Healthcare Acquisition Corp. - Unit","09/18/2020","Shell Companies","$105,517,450","0","AHAC","Alpha Healthcare Acquisition Corp.","Common stocks","Analyze"
"ATAC=","Altimar Acquisition Corporation Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","10/23/2020","Shell Companies","$0","0","ATAC","Altimar Acquisition Corporation Class A","Common stocks","Analyze"
"AGCUU","Altimeter Growth Corp. - Unit","10/01/2020","Shell Companies","$690,750,000","0","","","","Analyze"
"ALTUU","Altitude Acquisition Corp.","12/08/2020","Shell Companies","$0","0","","","","Analyze"
"ALUS=","Alussa Energy Acquisition Corp. Units, each consisting of one Class A Ordinary Share, and one-half of one redeemable warrant","11/27/2019","Shell Companies","$292,675,000","0","ALUS","Alussa Energy Acquisition Corp. Class A","Common stocks","Analyze"
"AMCIU","AMCI Acquisition Corp. - Unit","11/16/2018","Shell Companies","$144,434,508","0","AMCI","AMCI Acquisition Corp. - Class A","Common stocks","Analyze"
"AEPPL","American Electric Power Company, Inc. - Corporate Unit","03/15/2019","Utilities—Regulated Electric","$39,303,949,581","64,929","AEP","American Electric Power Inc","Common stocks","Analyze"
"AEPPZ","American Electric Power Company, Inc. - Corporate Unit","09/28/2020","Utilities—Regulated Electric","$39,303,949,581","66,364","AEP","American Electric Power Inc","Common stocks","Analyze"
"ATA=","Americas Technology Acquisition Corp. Units, each consisting of one Ordinary Share and one half of Redeemable Warrant","12/15/2020","","$0","0","","","","Analyze"
"AMHCU","Amplitude Healthcare Acquisition Corporation - Unit","11/20/2019","Shell Companies","$102,900,000","0","AMHC","Amplitude Healthcare Acquisition Corporation - Class A","Common stocks","Analyze"
"ANDAU","Andina Acquisition Corp. III - Unit","11/25/2015","Shell Companies","$47,354,485","0","ANDA","Andina Acquisition Corp. III","Common stocks","Analyze"
"APXTU","Apex Technology Acquisition Corporation - Unit","09/17/2019","Shell Companies","$523,900,300","0","APXT","Apex Technology Acquisition Corporation - Class A","Common stocks","Analyze"
"APSG=","Apollo Strategic Growth Capital Units, each consisting of one Class A Ordinary Share and one-third Warrant","10/02/2020","Shell Companies","$0","0","APSG","Apollo Strategic Growth Capital Class A","Common stocks","Analyze"
"ACTCU","ArcLight Clean Transition Corp. - Unit","09/23/2020","Shell Companies","$331,612,500","0","ACTC","ArcLight Clean Transition Corp. - Class A","Common stocks","Analyze"
"AACQU","Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant","07/14/2020","Shell Companies","$762,898,500","0","AACQ","Artius Acquisition Inc. - Class A","Common stocks","Analyze"
"ACND=","Ascendant Digital Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","07/24/2020","Shell Companies","$429,835,500","0","ACND","Ascendant Digital Acquisition Corp. Class A","Common stocks","Analyze"
"ASPL=","Aspirational Consumer Lifestyle Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","09/18/2020","Shell Companies","$244,061,754","0","ASPL","Aspirational Consumer Lifestyle Corp. Class A","Common stocks","Analyze"
"ASAQ=","Atlantic Street Acquisition Corp Units, each consisting of one share of Class A common stock and one-half of one Warrant","10/02/2020","Shell Companies","$254,000,000","0","ASAQ","Atlantic Avenue Acquisition Corp. Class A","Common stocks","Analyze"
"ACIC+","Atlas Crest Investment Corp. Redeemable warrants included as part of the units, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50","12/18/2020","","$0","0","","","","Analyze"
"ACIC=","Atlas Crest Investment Corp. Units, each consisting of one Class A common stock, and one-third of one redeemable warrant","10/28/2020","Shell Companies","$0","0","ACIC","Atlas Crest Investment Corp. Class A","Common stocks","Analyze"
"AVAN=","Avanti Acquisition Corp. Units, each consisting of one Class A ordinary share, and redeemable warrant","10/02/2020","Shell Companies","$0","0","AVAN","Avanti Acquisition Corp. Class A","Common stocks","Analyze"
"BENEU","Benessere Capital Acquisition Corp.","12/29/2020","Shell Companies","$0","0","","","","Analyze"
"BWACU","Better World Acquisition Corp.","11/03/2020","Shell Companies","$163,955,721","0","BWAC","Better World Acquisition Corp.","Common stocks","Analyze"
"BRPAU","Big Rock Partners Acquisition Corp. - Unit","11/20/2017","Shell Companies","$81,883,851","0","BRPA","Big Rock Partners Acquisition Corp.","Common stocks","Analyze"
"PHGE=","BiomX Inc. Units","10/29/2019","Biotechnology","$162,031,952","0","PHGE","BiomX Inc.","Common stocks","Analyze"
"BLUWU","Blue Water Acquisition Corp.","12/15/2020","Shell Companies","$0","15,887","","","","Analyze"
"BOAC=","Bluescape Opportunities Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-half of one redeemable warrant","10/23/2020","Shell Companies","$0","0","BOAC","Bluescape Opportunities Acquisition Corp. Class A","Common stocks","Analyze"
"BOWXU","BowX Acquisition Corp. - Unit","08/05/2020","Shell Companies","$505,701,000","0","BOWX","BowX Acquisition Corp. - Class A","Common stocks","Analyze"
"BTWNU","Bridgetown Holdings Limited - Units","10/16/2020","Shell Companies","$871,665,492","0","BTWN","Bridgetown Holdings Limited - Class A","Common stocks","Analyze"
"BLTSU","Bright Lights Acquisition Corp. - Unit","01/07/2021","","$0","0","","","","Analyze"
"BRLIU","Brilliant Acquisition Corporation - Unit","06/24/2020","Shell Companies","$62,332,200","0","BRLI","Brilliant Acquisition Corporation","Common stocks","Analyze"
"BSN=","Broadstone Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","09/11/2020","Shell Companies","$312,019,676","0","BSN","Broadstone Acquisition Corp. Class A","Common stocks","Analyze"
"BHSEU","Bull Horn Holdings Corp. - Unit","10/22/2020","Shell Companies","$76,725,000","0","BHSE","Bull Horn Holdings Corp.","Common stocks","Analyze"
"BTAQU","Burgundy Technology Acquisition Corp Unit","08/25/2020","Shell Companies","$373,050,625","0","BTAQ","Burgundy Technology Acquisition Corporation - Class A","Common stocks","Analyze"
"CAP=","Capitol Investment Corp. V Units, each consisting of one share of Class A common stock, and one-third of one redeemable warrant","12/02/2020","","$0","0","","","","Analyze"
"CPSR=","Capstar Special Purpose Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-half of one Warrant","07/02/2020","Shell Companies","$282,900,000","0","CPSR","Capstar Special Purpose Acquisition Corp. Class A","Common stocks","Analyze"
"CTAQU","Carney Technology Acquisition Corp. II - Units","12/10/2020","","$0","0","","","","Analyze"
"CAS=","Cascade Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-half of one Redeemable Warrant","11/20/2020","Shell Companies","$0","0","","","","Analyze"
"PCPL=","CC Neuberger Principal Holdings I Units, each consisting of one Class A ordinary share and one-fourth of one Redeemable Warrant","04/24/2020","Shell Companies","$447,120,000","0","PCPL","CC Neuberger Principal Holdings I Class A","Common stocks","Analyze"
"PRPB=","CC Neuberger Principal Holdings II Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","07/31/2020","Shell Companies","$0","0","PRPB","CC Neuberger Principal Holdings II Class A","Common stocks","Analyze"
"CTAC=","Cerberus Telecom Acquisition Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","10/19/2020","Shell Companies","$0","0","CTAC","Cerberus Telecom Acquisition Corp. Class A","Common stocks","Analyze"
"CTAC+","Cerberus Telecom Acquisition Corp. Warrants included as part of the Units, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50","12/11/2020","","$0","0","","","","Analyze"
"CFIVU","CF Acquisition Corp. IV - Unit","12/22/2020","","$0","0","","","","Analyze"
"CFIIU","CF Finance Acquisition Corp. II - Unit","08/27/2020","Shell Companies","$597,870,000","0","CFII","CF Finance Acquisition Corp. II - Class A","Common stocks","Analyze"
"CFACU","CF Finance Acquisition Corp. III - Unit","11/13/2020","Shell Companies","$0","0","CFAC","CF Finance Acquisition Corp. III","Common stocks","Analyze"
"CHNGU","Change Healthcare Inc. - Tangible Equity Units","06/27/2019","Health Information Services","$7,349,477,556","340","CHNG","Change Healthcare Inc.","Common stocks","Analyze"
"CHAQ=","Chardan Healthcare Acquisition 2 Corp. Units, each consisting of one share of Common Stock, and one Warrant entitling the holder to purchase one-half of a share of Common Stock","04/24/2020","Shell Companies","$111,338,813","0","CHAQ","Chardan Healthcare Acquisition 2 Corp.","Common stocks","Analyze"
"CHPMU","CHP Merger Corp. - Unit","11/22/2019","Shell Companies","$314,100,000","0","CHPM","CHP Merger Corp. - Class A","Common stocks","Analyze"
"CCX=","Churchill Capital Corp II Units, each consisting of one share of Class A common stock, $0.0001 par value, and one-third of one redeemable warrant","06/27/2019","Shell Companies","$724,500,000","0","CCX","Churchill Capital Corp II Class A","Common stocks","Analyze"
"CCIV=","Churchill Capital Corp IV Units, each consisting of one share of Class A common stock and one-fifth of one redeemable warrant","07/30/2020","Shell Companies","$2,076,210,000","0","CCIV","Churchill Capital Corp IV Class A","Common stocks","Analyze"
"CCV=","Churchill Capital Corp V Units, each consisting of one share of Class A common stock, and one-fourth of one redeemable warrant","12/16/2020","","$0","0","","","","Analyze"
"CIICU","CIIG Merger Corp. - Units","12/13/2019","Shell Companies","$712,080,000","0","CIIC","CIIG Merger Corp. - Class A","Common stocks","Analyze"
"CCAC=","CITIC Capital Acquisition Corp. Units","02/11/2020","Shell Companies","$290,904,000","0","CCAC","CITIC Capital Acquisition Corp. Class A","Common stocks","Analyze"
"CLII=","Climate Change Crisis Real Impact I Acquisition Corporation Units, each consisting of one share of Class A Common Stock and one-half of one Warrant","09/30/2020","Shell Companies","$0","0","CLII","Climate Change Crisis Real Impact I Acquisition Corporation Class A","Common stocks","Analyze"
"CMLFU","CM Life Sciences, Inc. - Unit","09/02/2020","Shell Companies","$502,521,250","0","CMLF","CM Life Sciences, Inc. - Class A","Common stocks","Analyze"
"CRHC=","Cohn Robbins Holdings Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","09/09/2020","Shell Companies","$865,260,000","0","CRHC","Cohn Robbins Holdings Corp. Class A","Common stocks","Analyze"
"CFXA","Colfax Corporation 5.75% Tangible Equity Units","01/16/2019","Specialty Industrial Machinery","$4,673,135,712","36,415","CFX","Colfax Corp","Common stocks","Analyze"
"CGROU","Collective Growth Corporation - Unit","05/01/2020","Shell Companies","$211,996,125","0","CGRO","Collective Growth Corporation - Class A","Common stocks","Analyze"
"CLA=","Colonnade Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","08/21/2020","Shell Companies","$266,600,000","0","CLA","Colonnade Acquisition Corp. Class A","Common stocks","Analyze"
"CND=","Concord Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-half of one Warrant","12/03/2020","","$0","0","","","","Analyze"
"CHFW=","Consonance-HFW Acquisition Corp. Units, each consisting of one Class A Ordinary Share, and one-third of one Warrant to acquire one Class A Ordinary Share","11/19/2020","Shell Companies","$0","0","","","","Analyze"
"CONXU","CONX Corp. - Unit","10/29/2020","Shell Companies","$762,750,000","0","CONX","CONX Corp. - Class A","Common stocks","Analyze"
"COOLU","Corner Growth Acquisition Corp. - Unit","12/17/2020","","$0","35,438","","","","Analyze"
"CRSAU","Crescent Acquisition Corp - Unit","03/08/2019","Shell Companies","$263,750,000","0","CRSA","Crescent Acquisition Corp - Class A","Common stocks","Analyze"
"CRU=","Crucible Acquisition Corporation Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","12/31/2020","","$0","122,079","","","","Analyze"
"DEH=","D8 Holdings Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","07/15/2020","Shell Companies","$351,555,000","0","DEH","D8 Holdings Corp. Class A","Common stocks","Analyze"
"DDMXU","DD3 Acquisition Corp. II - Unit","12/08/2020","","$0","0","","","","Analyze"
"DCRBU","Decarbonization Plus Acquisition Corporation - Unit","10/20/2020","Shell Companies","$241,525,771","0","DCRB","Decarbonization Plus Acquisition Corporation - Class A","Common stocks","Analyze"
"DFHTU","Deerfield Healthcare Technology Acquisitions Corp. - Unit","07/17/2020","Shell Companies","$234,168,750","0","DFHT","Deerfield Healthcare Technology Acquisitions Corp. - Class A","Common stocks","Analyze"
"DWIN=","Delwinds Insurance Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of one redeemable warrant","12/11/2020","","$0","0","","","","Analyze"
"DFPHU","DFP Healthcare Acquisitions Corp. - Unit","03/11/2020","Shell Companies","$248,630,000","0","DFPH","DFP Healthcare Acquisitions Corp. - Class A","Common stocks","Analyze"
"DMYD=","dMY Technology Group, Inc. II Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","08/14/2020","Shell Companies","$0","0","DMYD","dMY Technology Group, Inc. II Class A","Common stocks","Analyze"
"DMYI=","dMY Technology Group, Inc. III Units, each consisting of one share of Class A common stock and one-fourth of one redeemable warrant","11/13/2020","Shell Companies","$0","0","DMYI","dMY Technology Group, Inc. III Class A","Common stocks","Analyze"
"DMYT=","dMY Technology Group, Inc. Units, each consisting of one share of Class A Common Stock and one-half of one redeemable Warrant","02/21/2020","Shell Companies","$523,480,000","0","DMYT","dMY Technology Group, Inc. Class A","Common stocks","Analyze"
"DCUE","Dominion Energy, Inc. 2019 Series A Corporate Units","06/19/2019","Utilities—Diversified","$59,717,957,754","97,824","D","Dominion Energy Inc","Common stocks","Analyze"
"XPOA=","DPCM Capital, Inc. Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","10/21/2020","Shell Companies","$0","0","XPOA","DPCM Capital, Inc. Class A","Common stocks","Analyze"
"DGNR=","Dragoneer Growth Opportunities Corp. Units, each consisting of one Class A ordinary share, and one-fourth of one redeemable warrant","08/14/2020","Shell Companies","$936,330,000","0","DGNR","Dragoneer Growth Opportunities Corp. Class A","Common stocks","Analyze"
"DTP","DTE Energy Company 6.25% Corporate Units","11/06/2019","Utilities—Regulated Electric","$22,769,391,079","75,328","DTE","DTE Energy","Common stocks","Analyze"
"DSACU","Duddell Street Acquisition Corp. - Unit","10/28/2020","Shell Companies","$176,925,000","0","DSAC","Duddell Street Acquisition Corp. - Class A","Common stocks","Analyze"
"DUNEU","Dune Acquisition Corp","12/18/2020","Shell Companies","$0","244,450","","","","Analyze"
"ETACU","E.Merge Technology Acquisition Corp. - Unit","07/31/2020","Shell Companies","$624,852,000","0","ETAC","E.Merge Technology Acquisition Corp. - Class A","Common stocks","Analyze"
"ERESU","East Resources Acquisition Company - Unit","07/23/2020","Shell Companies","$350,175,000","0","ERES","East Resources Acquisition Company - Class A","Common stocks","Analyze"
"ESSCU","East Stone Acquisition Corporation - Unit","02/20/2020","Shell Companies","$181,106,805","0","ESSC","East Stone Acquisition Corporation","Common stocks","Analyze"
"EDTXU","EdtechX Holdings Acquisition Corp. II - Unit","12/11/2020","","$0","0","","","","Analyze"
"ELAT","Elanco Animal Health Incorporated 5.00% Tangible Equity Units","01/30/2020","Drug Manufacturers—Specialty & Generic","$14,808,694,300","58,154","ELAN","Elanco Animal Health Incorporated","Common stocks","Analyze"
"EMPW=","Empower Ltd. Units, each consisting of one Class A ordinary share, $0.0001 par value, and one-third of one redeemable warrant","10/07/2020","Shell Companies","$0","0","EMPW","Empower Ltd. Class A","Common stocks","Analyze"
"EPWR=","Empowerment & Inclusion Capital I Corp. Units, each consisting of one share of Class A common stock and one-half of one redeemable warrant","01/08/2021","","$0","0","","","","Analyze"
"EPHYU","Epiphany Technology Acquisition Corp. - Unit","01/08/2021","","$0","0","","","","Analyze"
"EQD=","Equity Distribution Acquisition Corp. Units","09/11/2020","Shell Companies","$429,318,000","0","EQD","Equity Distribution Acquisition Corp. Class A","Common stocks","Analyze"
