"Symbol","Name","IPO date","Industry","Market cap","20 Day Average Volume","Issuer Symbol","Issuer Name","Issuer Type","Action"
"NGA=","Northern Genesis Acquisition Corp. Units, each consisting of one share of common stock and one-half of one redeemable warrant","08/18/2020","Shell Companies","$0","63,935","NGA","Northern Genesis Acquisition Corp.","Common stocks","Analyze"
"STIC=","Northern Star Acquisition Corp. Units, each consisting of one share of common stock and one-third ofA one Warrant","11/11/2020","Shell Companies","$375,166,250","0","STIC","Northern Star Acquisition Corp. Class A","Common stocks","Analyze"
"NOVSU","Novus Capital Corporation - Units","05/15/2020","Shell Companies","$242,247,500","0","NOVS","Novus Capital Corporation","Common stocks","Analyze"
"OACB=","Oaktree Acquisition Corp. II Units, each consisting of one Class A ordinary share, and one-fourth of one redeemable warrant","09/17/2020","Shell Companies","$264,000,000","0","OACB","Oaktree Acquisition Corp. II Class A","Common stocks","Analyze"
"OAC=","Oaktree Acquisition Corp. Units, each consisting of one Class A ordinary share, $0.0001 par value, and one-third of one redeemable warrant","07/19/2019","Shell Companies","$346,351,250","0","OAC","Oaktree Acquisition Corp. Class A","Common stocks","Analyze"
"OCA=","Omnichannel Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one redeemable warrant","11/16/2020","Shell Companies","$0","0","","","","Analyze"
"AONE=","one Units, each consisting of one Class A Ordinary Share, and one third of one Warrant to acquire one Class A Ordinary Share","08/18/2020","Shell Companies","$0","0","AONE","one Class A","Common stocks","Analyze"
"SFTW=","Osprey Technology Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-half of one redeemable Warrant","11/01/2019","Shell Companies","$428,914,063","0","SFTW","Osprey Technology Acquisition Corp. Class A","Common stocks","Analyze"
"OTRAU","OTR Acquisition Corp. - Unit","10/30/2020","Shell Companies","$108,959,335","0","OTRA","OTR Acquisition Corp. - Class A","Common stocks","Analyze"
"PCGU","Pacific Gas & Electric Co. Equity Unit","07/07/2020","Utilities—Regulated Electric","$24,291,085,747","2,131","PCG","Pacific Gas & Electric Co.","Common stocks","Analyze"
"PANA=","Panacea Acquisition Corp. Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","07/01/2020","Shell Companies","$163,784,750","0","PANA","Panacea Acquisition Corp. Class A","Common stocks","Analyze"
"PDAC=","Peridot Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-half of one redeemable warrant","09/24/2020","Shell Companies","$0","0","PDAC","Peridot Acquisition Corp. Class A","Common stocks","Analyze"
"PAICU","Petra Acquisition, Inc. - Units","08/28/2020","Shell Companies","$95,229,173","0","PAIC","Petra Acquisition, Inc.","Common stocks","Analyze"
"PIPP=","Pine Island Acquisition Corp. Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","11/17/2020","Shell Companies","$0","0","PIPP","Pine Island Acquisition Corp. Class A","Common stocks","Analyze"
"PACXU","Pioneer Merger Corp. - Unit","01/07/2021","","$0","0","","","","Analyze"
"PMVC=","PMV Consumer Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one redeemable warrant","09/22/2020","Shell Companies","$0","0","PMVC","PMV Consumer Acquisition Corp. Class A","Common stocks","Analyze"
"PPGHU","Poema Global Holdings Corp. - Unit","01/06/2021","","$0","0","","","","Analyze"
"PHICU","Population Health Investment Co., Inc. - Unit","11/18/2020","","$0","0","PHIC","Population Health Investment Co., Inc. - Class A","Common stocks","Analyze"
"POWRU","Powered Brands - Units","01/07/2021","","$0","0","","","","Analyze"
"PIAI=","Prime Impact Acquisition I Units, each consisting of one Class A ordinary share, and one-third of a redeemable Warrant to acquire one Class A ordinary share","09/10/2020","Shell Companies","$332,510,328","0","PIAI","Prime Impact Acquisition I Class A","Common stocks","Analyze"
"PSACU","Property Solutions Acquisition Corp. - Unit","07/22/2020","Shell Companies","$298,116,761","0","PSAC","Property Solutions Acquisition Corp.","Common stocks","Analyze"
"PTICU","PropTech Investment Corporation II - Unit","12/04/2020","","$0","0","","","","Analyze"
"PRSRU","Prospector Capital Corp. - Unit","01/07/2021","","$0","0","","","","Analyze"
"PAQCU","Provident Acquisition Corp. - Units","01/07/2021","","$0","0","","","","Analyze"
"PTK=","PTK Acquisition Corp. Units","07/13/2020","Shell Companies","$149,643,750","0","PTK","PTK Acquisition Corp.","Common stocks","Analyze"
"QELLU","Qell Acquisition Corp. - Unit","09/30/2020","Shell Companies","$480,447,000","0","QELL","Qell Acquisition Corp. - Class A","Common stocks","Analyze"
"RCHGU","Recharge Acquisition Corp. - Unit","10/01/2020","Shell Companies","$205,808,796","0","RCHG","Recharge Acquisition Corp. - Class A","Common stocks","Analyze"
"RBAC=","RedBall Acquisition Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","08/13/2020","Shell Companies","$0","0","RBAC","RedBall Acquisition Corp. Class A","Common stocks","Analyze"
"RTP=","Reinvent Technology Partners Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","09/17/2020","Shell Companies","$810,750,000","0","RTP","Reinvent Technology Partners Class A","Common stocks","Analyze"
"RTPZ=","Reinvent Technology Partners Z Unit","11/19/2020","Shell Companies","$0","0","","","","Analyze"
"RPLA=","Replay Acquisition Corp. Units, each consisting of one Ordinary Share and one-half of one Warrant","04/04/2019","Shell Companies","$373,390,625","0","RPLA","Replay Acquisition Corp.","Common stocks","Analyze"
"RAACU","Revolution Acceleration Acquisition Corp - Unit","12/08/2020","","$0","0","","","","Analyze"
"LEAP=","Ribbit LEAP, Ltd. Units, each consisting of one Class A Ordinary Share, and one fifth of one Warrant to acquire one Class A Ordinary Share","09/11/2020","Shell Companies","$536,315,000","0","LEAP","Ribbit LEAP, Ltd. Class A","Common stocks","Analyze"
"RICE=","Rice Acquisition Corp. Uts, each consisting of one share of Class A common stock, and one-half of one warrant","10/22/2020","","$0","0","RICE","Rice Acquisition Corp. Class A","Common stocks","Analyze"
"RMGBU","RMG Acquisition Corp. II - Unit","12/10/2020","Shell Companies","$0","0","","","","Analyze"
"RMG=","RMG Acquisition Corp. Unit","02/08/2019","Shell Companies","$621,000,000","0","RMG","RMG Acquisition Corp. Class A","Common stocks","Analyze"
"RSVAU","Rodgers Silicon Valley Acquisition Corp. - Unit","12/02/2020","Shell Companies","$393,875,000","0","RSVA","Rodgers Silicon Valley Acquisition Corp.","Common stocks","Analyze"
"DBDRU","Roman DBDR Tech Acquisition Corp. - Unit","10/30/2020","Shell Companies","$238,969,920","0","DBDR","Roman DBDR Tech Acquisition Corp. - Class A","Common stocks","Analyze"
"ROCHU","Roth CH Acquisition I Co. - Unit","05/05/2020","Shell Companies","$152,334,000","0","ROCH","Roth CH Acquisition I Co.","Common stocks","Analyze"
"ROCCU","Roth CH Acquisition II Co. - Unit","12/10/2020","Shell Companies","$116,150,000","0","ROCC","Roth CH Acquisition II Co.","Common stocks","Analyze"
"SBG=","Sandbridge Acquisition Corporation Units","09/15/2020","Shell Companies","$236,952,900","0","SBG","Sandbridge Acquisition Corporation Class A","Common stocks","Analyze"
"SRSAU","Sarissa Capital Acquisition Corp. - Unit","10/21/2020","Shell Companies","$231,800,000","0","SRSA","Sarissa Capital Acquisition Corp. - Class A","Common stocks","Analyze"
"SCPE=","SC Health Corporation Units","07/12/2019","Shell Companies","$179,055,000","0","SCPE","SC Health Corporation Class A","Common stocks","Analyze"
"SCOAU","ScION Tech Growth I - Unit","12/17/2020","","$0","843,324","","","","Analyze"
"SCVX=","SCVX Corp. Units, each consisting of one Class A ordinary share, $0.0001 par value per share, and one-half of one redeemable warrant","01/24/2020","Shell Companies","$241,040,000","0","SCVX","SCVX Corp. Class A","Common stocks","Analyze"
"SGAMU","Seaport Global Acquisition Corp","11/30/2020","Shell Companies","$144,900,000","0","SGAM","Seaport Global Acquisition Corp. - Class A","Common stocks","Analyze"
"SNRHU","Senior Connect Acquisition Corp. I - Unit","12/10/2020","","$0","0","","","","Analyze"
"SVOKU","Seven Oaks Acquisition Corp. - Unit","12/18/2020","","$0","376,629","","","","Analyze"
"SSPKU","Silver Spike Acquisition Corp. - Units","08/08/2019","Shell Companies","$522,187,500","0","SSPK","Silver Spike Acquisition Corp. - Class A","Common stocks","Analyze"
"IPOC=","Social Capital Hedosophia Holdings Corp. III Units, each consisting of one Class A ordinary share and one-quarter of one redeemable warrant","04/22/2020","Shell Companies","$1,326,456,000","0","IPOC","Social Capital Hedosophia Holdings Corp. III Class A","Common stocks","Analyze"
"IPOD=","Social Capital Hedosophia Holdings Corp. IV Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","10/09/2020","Shell Companies","$0","0","IPOD","Social Capital Hedosophia Holdings Corp. IV Class A","Common stocks","Analyze"
"IPOE=","Social Capital Hedosophia Holdings Corp. V Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","10/09/2020","","$0","0","IPOE","IPOX 100 Europe Index","Europe","Analyze"
"IPOF=","Social Capital Hedosophia Holdings Corp. VI Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant","10/09/2020","Shell Companies","$0","0","IPOF","Social Capital Hedosophia Holdings Corp. VI Class A","Common stocks","Analyze"
"SAIIU","Software Acquisition Group Inc. II - Unit","09/15/2020","Shell Companies","$175,087,500","0","SAII","Software Acquisition Group Inc. II - Class A","Common stocks","Analyze"
"SJIU","South Jersey Industries, Inc. Corporate Units","04/19/2018","Utilities—Diversified","$2,173,756,534","2,865","SJI","South Jersey Industries, Inc.","Common stocks","Analyze"
"SMMCU","South Mountain Merger Corp. - Unit","06/20/2019","Shell Companies","$422,500,000","0","SMMC","South Mountain Merger Corp. - Class A","Common stocks","Analyze"
"SOLN","Southern Company (The) 2019 Series A Corporate Units","08/21/2019","Utilities—Regulated Electric","$65,025,970,154","105,434","SO","Southern Co","Common stocks","Analyze"
"TMTSU","Spartacus Acquisition Corporation - Unit","10/15/2020","Shell Companies","$203,400,000","0","TMTS","Spartacus Acquisition Corporation - Class A","Common stocks","Analyze"
"SPRQ=","Spartan Acquisition Corp. II Units","11/25/2020","Shell Companies","$0","0","","","","Analyze"
"SEAH=","Sports Entertainment Acquisition Corp. Units, each consisting of one share of Class A Common Stock, and one-half of one redeemable Warrant","10/02/2020","Shell Companies","$0","0","SEAH","Sports Entertainment Acquisition Corp. Class A","Common stocks","Analyze"
"AKICU","Sports Ventures Acquisition Corp. - Unit","01/06/2021","","$0","0","","","","Analyze"
"SVSVU","SPRING VALLEY ACQUISITION CORP.","11/24/2020","Shell Companies","$232,990,000","0","","","","Analyze"
"SRACU","Stable Road Acquisition Corp. - Unit","11/08/2019","Shell Companies","$289,702,600","0","SRAC","Stable Road Acquisition Corp. - Class A","Common stocks","Analyze"
"SWT","Stanley Black & Decker, Inc. Corporate Unit","11/15/2019","Tools & Accessories","$28,316,263,632","51,728","SWK","Stanley Black & Decker Inc","Common stocks","Analyze"
"STPC=","Star Peak Corp II Units, each consisting of one share of Class A common stock and one-fourth of one redeemable warrant","01/06/2021","","$0","0","","","","Analyze"
"STPK=","Star Peak Energy Transition Corp. Units, each consisting of one share of Class A common stock, and one-third of one redeemable warrant","08/18/2020","Shell Companies","$977,758,267","144,520","STPK","Star Peak Energy Transition Corp. Class A","Common stocks","Analyze"
"SVACU","Starboard Value Acquisition Corp. - Unit","09/10/2020","Shell Companies","$432,530,947","0","SVAC","Starboard Value Acquisition Corp. - Class A","Common stocks","Analyze"
"SPNV=","Supernova Partners Acquisition Company, Inc. Units, each consisting of one share of Class A common stock and one-third of one warrant","10/21/2020","Shell Companies","$0","0","SPNV","Supernova Partners Acquisition Company, Inc. Class A","Common stocks","Analyze"
"SOAC=","Sustainable Opportunities Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","05/06/2020","Shell Companies","$325,200,000","0","SOAC","Sustainable Opportunities Acquisition Corp. Class A","Common stocks","Analyze"
"SVFAU","SVF Investment Corp. - Unit","01/07/2021","","$0","0","","","","Analyze"
"SBE=","Switchback Energy Acquisition Corporation Units","07/26/2019","Shell Companies","$1,331,230,516","0","SBE","Switchback Energy Acquisition Corporation Class A","Common stocks","Analyze"
"SWBK=","Switchback II Corporation Units, each consisting of one Class A ordinary share and one fifth of one redeemable warrant","01/08/2021","","$0","0","","","","Analyze"
"TWND=","Tailwind Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one warrant","09/04/2020","Shell Companies","$341,902,661","0","TWND","Tailwind Acquisition Corp. Class A","Common stocks","Analyze"
"TMKRU","Tastemaker Acquisition Corp. - Unit","01/07/2021","","$0","0","","","","Analyze"
"TEKKU","Tekkorp Digital Acquisition Corp. - Unit","10/22/2020","Shell Companies","$257,000,000","0","TEKK","Tekkorp Digital Acquisition Corp. - Class A","Common stocks","Analyze"
"TVACU","Thayer Ventures Acquisition Corporation - Units","12/11/2020","","$0","0","","","","Analyze"
"THBRU","Thunder Bridge Acquisition II, Ltd. - Units","08/09/2019","Shell Companies","$461,955,000","0","THBR","Thunder Bridge Acquisition II, Ltd. - Class A","Common stocks","Analyze"
"TINV=","Tiga Acquisition Corp. Units, each consisting of one Class A ordinary share and one half of one warrant","11/19/2020","Shell Companies","$0","0","","","","Analyze"
"SNPR=","Tortoise Acquisition Corp. II Units","09/11/2020","Shell Companies","$392,610,000","0","SNPR","Tortoise Acquisition Corp. II Class A","Common stocks","Analyze"
"TOTAU","Tottenham Acquisition I Limited - Unit","08/02/2018","Shell Companies","$36,683,280","0","TOTA","Tottenham Acquisition I Limited","Common stocks","Analyze"
"TPGY=","TPG Pace Beneficial Finance Corp. Units, each consisting of one Class A ordinary share and one-fifth of one Warrant","10/07/2020","Shell Companies","$0","0","TPGY","TPG Pace Beneficial Finance Corp. Class A","Common stocks","Analyze"
"PACE=","TPG Pace Tech Opportunities Corp. Units, each consisting of one Class A ordinary share and one-fifth of one Warrant","10/07/2020","Shell Companies","$0","0","PACE","TPG Pace Tech Opportunities Corp. Class A","Common stocks","Analyze"
"TREB=","Trebia Acquisition Corp. Units, each consisting of one Class A Ordinary Share, and one-third of one Warrant","06/17/2020","Shell Companies","$555,277,500","0","TREB","Trebia Acquisition Corp. Class A","Common stocks","Analyze"
"TACA=","Trepont Acquisition Corp I Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant","12/02/2020","","$0","0","","","","Analyze"
"TDACU","Trident Acquisitions Corp. - Units","05/30/2018","Shell Companies","$147,801,342","0","TDAC","Trident Acquisitions Corp.","Common stocks","Analyze"
"TSIAU","TS Innovation Acquisitions Corp. - Unit","11/10/2020","Shell Companies","$306,000,000","0","TSIA","TS Innovation Acquisitions Corp. - Class A","Common stocks","Analyze"
"TMPMU","Turmeric Acquisition Corp. - Unit","10/15/2020","Shell Companies","$104,962,150","0","TMPM","Turmeric Acquisition Corp. - Class A","Common stocks","Analyze"
"THCBU","Tuscan Holdings Corp. - Unit","03/05/2019","Shell Companies","$571,340,700","0","THCB","Tuscan Holdings Corp.","Common stocks","Analyze"
"THCAU","Tuscan Holdings Corp. II - Unit","07/12/2019","Shell Companies","$237,025,250","0","THCA","Tuscan Holdings Corp. II","Common stocks","Analyze"
"TWCTU","TWC Tech Holdings II Corp. - Unit","09/11/2020","Shell Companies","$630,612,000","0","TWCT","TWC Tech Holdings II Corp. - Class A","Common stocks","Analyze"
"LATNU","Union Acquisition Corp. II - Units","10/18/2019","Shell Companies","$255,750,000","0","LATN","Union Acquisition Corp. II","Common stocks","Analyze"
"VTIQU","VectoIQ Acquisition Corp. II - Unit","01/07/2021","","$0","0","","","","Analyze"
"VACQU","Vector Acquisition Corporation - Unit","09/25/2020","Shell Companies","$312,600,000","0","VACQ","Vector Acquisition Corporation - Class A","Common stocks","Analyze"
"VTAQU","Ventoux CCM Acquisition Corp.","12/22/2020","Shell Companies","$0","0","","","","Analyze"
"VERT=","Vertiv Holdings, LLC Units, each consisting of one share of Class A common stock and one-third of one redeemable warrant","02/10/2020","Electrical Equipment & Parts","$5,934,417,579","0","VRT","Vertiv Holdings, LLC Class A","Common stocks","Analyze"
"VSPRU","Vesper Healthcare Acquisition Corp. - Unit","09/30/2020","Shell Companies","$516,580,000","0","VSPR","Vesper Healthcare Acquisition Corp. - Class A","Common stocks","Analyze"
"VGAC=","VG Acquisition Corp. Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","10/02/2020","Shell Companies","$0","0","VGAC","VG Acquisition Corp. Class A","Common stocks","Analyze"
"VCKAU","Vickers Vantage Corp. I - Unit","01/07/2021","","$0","0","","","","Analyze"
"VINCU","Vincera Pharma, Inc.  - Unit","03/06/2020","Biotechnology","$175,580,773","609","VINC","Vincera Pharma, Inc.","Common stocks","Analyze"
"VMACU","Vistas Media Acquisition Company Inc. - Unit","08/07/2020","Shell Companies","$114,886,200","0","VMAC","Vistas Media Acquisition Company Inc. - Class A","Common stocks","Analyze"
"VHAQ=","Viveon Health Acquisition Corp. Units, each consisting of one share of common stock, one Warrant entitling the holder to purchase one-half of a share of common stock, and one right to receive one-twen","12/23/2020","","$0","0","","","","Analyze"
"VIHAU","VPC Impact Acquisition Holdings - Unit","09/23/2020","Shell Companies","$341,749,089","0","","","","Analyze"
"VYGG=","Vy Global Growth Units, each consisting of one Class A Ordinary Share, and one fifth of one Warrant to acquire one Class A Ordinary Share","10/02/2020","Shell Companies","$0","0","VYGG","Vy Global Growth Class A","Common stocks","Analyze"
"YSACU","Yellowstone Acquisition Company - Units","10/22/2020","Shell Companies","$142,108,484","0","YSAC","Yellowstone Acquisition Company - Class A","Common stocks","Analyze"
"YAC=","Yucaipa Acquisition Corporation Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant","08/04/2020","Shell Companies","$358,800,000","0","YAC","Yucaipa Acquisition Corporation Class A","Common stocks","Analyze"
"ZGYHU","Yunhong International - Unit","02/13/2020","Shell Companies","$73,205,730","0","ZGYH","Yunhong International - Class A","Common stocks","Analyze"
"ZNTEU","Zanite Acquisition Corp. - Unit","11/16/2020","Shell Companies","$240,120,000","0","ZNTE","Zanite Acquisition Corp. - Class A","Common stocks","Analyze"